model,llc_value
checkpoints/sort_no_decay_l1_activation.pth_42,1.7805701
checkpoints/sort_no_decay_l1_activation.pth_43,1.888066
checkpoints/sort_no_decay_l1_activation.pth_44,1.1952702
checkpoints/sort_no_decay_l1_activation.pth_45,1.0886298
checkpoints/sort_no_decay_l1_activation.pth_46,1.6643614
checkpoints/sort_no_decay_l1_activation.pth_47,1.7895517
checkpoints/sort_no_decay_l1_activation.pth_48,2.120296
checkpoints/sort_no_decay_l1_activation.pth_49,1.7044473
checkpoints/sort_no_decay_l1_activation.pth_50,1.5963182
checkpoints/sort_no_decay_l1_activation.pth_51,1.848533
checkpoints/sort_no_decay_l1_activation.pth_52,1.9863454
checkpoints/sort_no_decay_l1_activation.pth_53,1.7934922
checkpoints/sort_no_decay_l1_activation.pth_54,1.3970338
checkpoints/sort_no_decay_l1_activation.pth_55,1.8138745
checkpoints/sort_no_decay_l1_activation.pth_56,1.5332012
checkpoints/sort_no_decay_l1_activation.pth_57,1.9304329
checkpoints/sort_no_decay_l1_activation.pth_58,1.8287247
checkpoints/sort_no_decay_l1_activation.pth_59,1.4594424
checkpoints/sort_no_decay_l1_activation.pth_60,0.9182868
checkpoints/sort_no_decay_l1_activation.pth_61,1.4923028
checkpoints/sort_no_decay_l1_activation.pth_62,2.307628
checkpoints/sort_no_decay_l1_activation.pth_63,2.0727768
checkpoints/sort_no_decay_l1_activation.pth_64,1.2750787
checkpoints/sort_no_decay_l1_activation.pth_65,1.0043128
checkpoints/sort_no_decay_l1_activation.pth_66,1.7619528
checkpoints/sort_no_decay_l1_activation.pth_67,1.3618666
checkpoints/sort_no_decay_l1_activation.pth_68,2.6911168
checkpoints/sort_no_decay_l1_activation.pth_69,0.80873024
checkpoints/sort_no_decay_l1_activation.pth_70,1.5888476
checkpoints/sort_no_decay_l1_activation.pth_71,1.8857908
checkpoints/sort_no_decay_l1_activation.pth_72,2.1846905
checkpoints/sort_no_decay_l1_activation.pth_73,1.935529
checkpoints/sort_no_decay_l1_activation.pth_74,1.5821694
checkpoints/sort_no_decay_l1_activation.pth_75,1.5714117
checkpoints/sort_no_decay_l1_activation.pth_76,1.242561
checkpoints/sort_no_decay_l1_activation.pth_77,1.9625521
checkpoints/sort_no_decay_l1_activation.pth_78,2.1998806
checkpoints/sort_no_decay_l1_activation.pth_79,1.8469942
checkpoints/sort_no_decay_l1_activation.pth_80,1.8918331
checkpoints/sort_no_decay_l1_activation.pth_81,1.1589327
checkpoints/sort_no_decay_l1_activation.pth_82,1.4955902
checkpoints/sort_no_decay_l1_activation.pth_83,2.09883
checkpoints/sort_no_decay_l1_activation.pth_84,2.3129008
checkpoints/sort_no_decay_l1_activation.pth_85,1.9765737
checkpoints/sort_no_decay_l1_activation.pth_86,1.9564894
checkpoints/sort_no_decay_l1_activation.pth_87,1.7682278
checkpoints/sort_no_decay_l1_activation.pth_88,1.2695464
checkpoints/sort_no_decay_l1_activation.pth_89,2.153423
checkpoints/sort_no_decay_l1_activation.pth_90,1.5434059
checkpoints/sort_no_decay_l1_activation.pth_91,1.3181517
checkpoints/sort_no_decay_l1_activation.pth_92,1.5388929
checkpoints/sort_no_decay_l1_activation.pth_93,1.506248
checkpoints/sort_no_decay_l1_activation.pth_94,2.410813
checkpoints/sort_no_decay_l1_activation.pth_95,1.4657766
checkpoints/sort_no_decay_l1_activation.pth_96,1.8988136
checkpoints/sort_no_decay_l1_activation.pth_97,1.623705
checkpoints/sort_no_decay_l1_activation.pth_98,1.631724
checkpoints/sort_no_decay_l1_activation.pth_99,1.9979362
checkpoints/sort_no_decay_l1_activation.pth_100,1.0566198
checkpoints/sort_no_decay_l1_activation.pth_101,2.0065818
checkpoints/sort_no_decay_l1_activation.pth_102,1.8879827
checkpoints/sort_no_decay_l1_activation.pth_103,1.8641626
checkpoints/sort_no_decay_l1_activation.pth_104,1.4113094
checkpoints/sort_no_decay_l1_activation.pth_105,1.9742279
checkpoints/sort_no_decay_l1_activation.pth_106,1.6515132
checkpoints/sort_no_decay_l1_activation.pth_107,1.3707256
checkpoints/sort_no_decay_l1_activation.pth_108,1.6853999
checkpoints/sort_no_decay_l1_activation.pth_109,2.834386
checkpoints/sort_no_decay_l1_activation.pth_110,1.3225679
checkpoints/sort_no_decay_l1_activation.pth_111,1.4923164
checkpoints/sort_no_decay_l1_activation.pth_112,1.0255828
checkpoints/sort_no_decay_l1_activation.pth_113,1.7453288
checkpoints/sort_no_decay_l1_activation.pth_114,2.0309248
checkpoints/sort_no_decay_l1_activation.pth_115,2.0648623
checkpoints/sort_no_decay_l1_activation.pth_116,1.9226668
checkpoints/sort_no_decay_l1_activation.pth_117,2.0558789
checkpoints/sort_no_decay_l1_activation.pth_118,1.2172456
checkpoints/sort_no_decay_l1_activation.pth_119,1.8736016
checkpoints/sort_no_decay_l1_activation.pth_120,1.1141928
checkpoints/sort_no_decay_l1_activation.pth_121,0.94913167
checkpoints/sort_no_decay_l1_activation.pth_122,2.1470344
checkpoints/sort_no_decay_l1_activation.pth_123,1.855197
checkpoints/sort_no_decay_l1_activation.pth_124,1.8861718
checkpoints/sort_no_decay_l1_activation.pth_125,1.7265267
checkpoints/sort_no_decay_l1_activation.pth_126,1.518941
checkpoints/sort_no_decay_l1_activation.pth_127,2.6500108
checkpoints/sort_no_decay_l1_activation.pth_128,2.1210113
checkpoints/sort_no_decay_l1_activation.pth_129,2.420315
checkpoints/sort_no_decay_l1_activation.pth_130,1.2753398
checkpoints/sort_no_decay_l1_activation.pth_131,0.8621242
checkpoints/sort_no_decay_l1_activation.pth_132,2.0710058
checkpoints/sort_no_decay_l1_activation.pth_133,1.6345686
checkpoints/sort_no_decay_l1_activation.pth_134,1.4627472
checkpoints/sort_no_decay_l1_activation.pth_135,0.76796913
checkpoints/sort_no_decay_l1_activation.pth_136,1.6428975
checkpoints/sort_no_decay_l1_activation.pth_137,2.287277
checkpoints/sort_no_decay_l1_activation.pth_138,1.379289
checkpoints/sort_no_decay_l1_activation.pth_139,1.1324869
checkpoints/sort_no_decay_l1_activation.pth_140,1.9412007
checkpoints/sort_no_decay_l1_activation.pth_141,1.0907037
checkpoints/sort_no_decay_l1_activation.pth_142,1.3650404
checkpoints/sort_no_decay_l1_activation.pth_143,1.0458491
checkpoints/sort_no_decay_l1_activation.pth_144,0.9579917
checkpoints/sort_no_decay_l1_activation.pth_145,2.4541361
checkpoints/sort_no_decay_l1_activation.pth_146,2.1614645
checkpoints/sort_no_decay_l1_activation.pth_147,1.9619703
checkpoints/sort_no_decay_l1_activation.pth_148,1.8027409
checkpoints/sort_no_decay_l1_activation.pth_149,2.0689263
checkpoints/sort_no_decay_l1_activation.pth_150,1.5827663
checkpoints/sort_no_decay_l1_activation.pth_151,1.6118249
checkpoints/sort_no_decay_l1_activation.pth_152,1.0218906
checkpoints/sort_no_decay_l1_activation.pth_153,1.767649
