,Epoch,Loss,Model
0,0,2.3172354698181152,Model 0
1,1,2.2611303329467773,Model 0
2,2,2.209418535232544,Model 0
3,3,2.1614184379577637,Model 0
4,4,2.1084980964660645,Model 0
5,5,2.049370288848877,Model 0
6,6,1.9858506917953491,Model 0
7,7,1.9217439889907837,Model 0
8,8,1.844805121421814,Model 0
9,9,1.773294448852539,Model 0
10,10,1.7011398077011108,Model 0
11,11,1.6323391199111938,Model 0
12,12,1.5826263427734375,Model 0
13,13,1.534259557723999,Model 0
14,14,1.5260593891143799,Model 0
15,15,1.4964617490768433,Model 0
16,16,1.4828684329986572,Model 0
17,17,1.4769253730773926,Model 0
18,18,1.4387574195861816,Model 0
19,19,1.4307894706726074,Model 0
20,20,1.4055159091949463,Model 0
21,21,1.3939064741134644,Model 0
22,22,1.372463345527649,Model 0
23,23,1.3507678508758545,Model 0
24,24,1.3277064561843872,Model 0
25,25,1.3037952184677124,Model 0
26,26,1.2878024578094482,Model 0
27,27,1.2642333507537842,Model 0
28,28,1.2260386943817139,Model 0
29,29,1.1982530355453491,Model 0
30,30,1.1655830144882202,Model 0
31,31,1.136045217514038,Model 0
32,32,1.1447468996047974,Model 0
33,33,1.1265109777450562,Model 0
34,34,1.04686439037323,Model 0
35,35,1.0608865022659302,Model 0
36,36,1.036872148513794,Model 0
37,37,0.9773515462875366,Model 0
38,38,0.9974840879440308,Model 0
39,39,0.9685500860214233,Model 0
40,40,0.9286735653877258,Model 0
41,41,0.9399974942207336,Model 0
42,42,0.919363796710968,Model 0
43,43,0.8823930025100708,Model 0
44,44,0.8839787244796753,Model 0
45,45,0.8946625590324402,Model 0
46,46,0.8709958791732788,Model 0
47,47,0.8434789776802063,Model 0
48,48,0.8405442237854004,Model 0
49,49,0.8461629152297974,Model 0
50,50,0.8051198124885559,Model 0
51,51,0.8010419607162476,Model 0
52,52,0.8088786005973816,Model 0
53,53,0.7860275506973267,Model 0
54,54,0.7753735780715942,Model 0
55,55,0.7705580592155457,Model 0
56,56,0.7526723146438599,Model 0
57,57,0.7540819644927979,Model 0
58,58,0.744687020778656,Model 0
59,59,0.7285650372505188,Model 0
60,60,0.723662257194519,Model 0
61,61,0.7140368223190308,Model 0
62,62,0.7089135646820068,Model 0
63,63,0.7099248170852661,Model 0
64,64,0.702255129814148,Model 0
65,65,0.7054939866065979,Model 0
66,66,0.716171145439148,Model 0
67,67,0.6903218626976013,Model 0
68,68,0.6742669343948364,Model 0
69,69,0.6596665978431702,Model 0
70,70,0.6549238562583923,Model 0
71,71,0.6644968390464783,Model 0
72,72,0.6441320776939392,Model 0
73,73,0.6193222999572754,Model 0
74,74,0.6209529638290405,Model 0
75,75,0.6145772933959961,Model 0
76,76,0.6112185716629028,Model 0
77,77,0.5981107950210571,Model 0
78,78,0.5813083052635193,Model 0
79,79,0.5675749182701111,Model 0
80,80,0.572897732257843,Model 0
81,81,0.5700627565383911,Model 0
82,82,0.5773944854736328,Model 0
83,83,0.5918875932693481,Model 0
84,84,0.6027683019638062,Model 0
85,85,0.587446391582489,Model 0
86,86,0.5406005382537842,Model 0
87,87,0.5207749009132385,Model 0
88,88,0.5385683178901672,Model 0
89,89,0.5370684862136841,Model 0
90,90,0.5088738799095154,Model 0
91,91,0.4995923638343811,Model 0
92,92,0.5095250010490417,Model 0
93,93,0.5079092383384705,Model 0
94,94,0.4765806198120117,Model 0
95,95,0.47178325057029724,Model 0
96,96,0.4777209758758545,Model 0
97,97,0.4751617908477783,Model 0
98,98,0.4511529505252838,Model 0
99,99,0.4416595995426178,Model 0
100,100,0.4473549723625183,Model 0
101,101,0.44990912079811096,Model 0
102,102,0.4267551302909851,Model 0
103,103,0.4145187735557556,Model 0
104,104,0.41657310724258423,Model 0
105,105,0.41386860609054565,Model 0
106,106,0.4121047556400299,Model 0
107,107,0.40779298543930054,Model 0
108,108,0.39538007974624634,Model 0
109,109,0.3893248736858368,Model 0
110,110,0.37638720870018005,Model 0
111,111,0.3699886202812195,Model 0
112,112,0.3640696108341217,Model 0
113,113,0.3597792983055115,Model 0
114,114,0.355203241109848,Model 0
115,115,0.3483072519302368,Model 0
116,116,0.3422538638114929,Model 0
117,117,0.3438873887062073,Model 0
118,118,0.3469187617301941,Model 0
119,119,0.37743496894836426,Model 0
120,120,0.538615882396698,Model 0
121,121,0.9318014979362488,Model 0
122,122,0.5409548878669739,Model 0
123,123,0.4453955590724945,Model 0
124,124,0.49235257506370544,Model 0
125,125,0.41702932119369507,Model 0
126,126,0.4048839509487152,Model 0
127,127,0.4399067461490631,Model 0
128,128,0.33899107575416565,Model 0
129,129,0.43117278814315796,Model 0
130,130,0.35180866718292236,Model 0
131,131,0.3585939109325409,Model 0
132,132,0.3708587884902954,Model 0
133,133,0.327395498752594,Model 0
134,134,0.3494735360145569,Model 0
135,135,0.3366580605506897,Model 0
136,136,0.320492148399353,Model 0
137,137,0.32641899585723877,Model 0
138,138,0.30916762351989746,Model 0
139,139,0.2945370376110077,Model 0
140,140,0.3026581406593323,Model 0
141,141,0.2851868271827698,Model 0
142,142,0.28149598836898804,Model 0
143,143,0.2869904637336731,Model 0
144,144,0.26842784881591797,Model 0
145,145,0.26884111762046814,Model 0
146,146,0.2623596489429474,Model 0
147,147,0.2578486502170563,Model 0
148,148,0.25333207845687866,Model 0
149,149,0.24909599125385284,Model 0
150,150,0.24715173244476318,Model 0
151,151,0.24103029072284698,Model 0
152,152,0.23846451938152313,Model 0
153,153,0.2286340743303299,Model 0
154,154,0.22698929905891418,Model 0
155,155,0.22281992435455322,Model 0
156,156,0.21634285151958466,Model 0
157,157,0.21994829177856445,Model 0
158,158,0.20913302898406982,Model 0
159,159,0.20431415736675262,Model 0
160,160,0.20373794436454773,Model 0
161,161,0.19981852173805237,Model 0
162,162,0.19776113331317902,Model 0
163,163,0.19004997611045837,Model 0
164,164,0.19014087319374084,Model 0
165,165,0.18912522494792938,Model 0
166,166,0.18060657382011414,Model 0
167,167,0.1778307557106018,Model 0
168,168,0.17176249623298645,Model 0
169,169,0.17204567790031433,Model 0
170,170,0.1663530170917511,Model 0
171,171,0.16235794126987457,Model 0
172,172,0.16234222054481506,Model 0
173,173,0.15992042422294617,Model 0
174,174,0.15481320023536682,Model 0
175,175,0.14678683876991272,Model 0
176,176,0.14832572638988495,Model 0
177,177,0.14900335669517517,Model 0
178,178,0.14530760049819946,Model 0
179,179,0.14031127095222473,Model 0
180,180,0.13704852759838104,Model 0
181,181,0.13367392122745514,Model 0
182,182,0.13143615424633026,Model 0
183,183,0.12882983684539795,Model 0
184,184,0.12432215362787247,Model 0
185,185,0.1224839836359024,Model 0
186,186,0.12304499000310898,Model 0
187,187,0.12026594579219818,Model 0
188,188,0.1183018907904625,Model 0
189,189,0.1145147830247879,Model 0
190,190,0.11237823963165283,Model 0
191,191,0.10967683792114258,Model 0
192,192,0.1052575334906578,Model 0
193,193,0.10680320113897324,Model 0
194,194,0.10217888653278351,Model 0
195,195,0.10200762748718262,Model 0
196,196,0.10150585323572159,Model 0
197,197,0.0972745344042778,Model 0
198,198,0.09310348331928253,Model 0
199,199,0.09496213495731354,Model 0
